title_dt,body_dt
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’","26일 업계에 따르면 한화는 지난 25일 매각주관사인 씨티글로벌마켓증권을 통해 롯데카드의 개인화 서비스 구축 내용과 빅데이터 전략, 베트남 신용카드사 ‘테크콤 파이낸스’ 인수 당시 내부자료 등에 대한 자료요청서(RFI)를 보냈다."
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’",한화는 지난 18일부터 롯데카드를 실사하면서 롯데카드가 ‘롯데멤버스’의 가공데이터만 보유하고 고객 원천 데이터는 확보하지 않은 것으로 보고 있다. 롯데멤버스는 롯데그룹 계열사 및 외부 제휴 가맹점을 결합한 통합멤버십 ‘엘포인트’와 고객 빅데이터 사업을 한다. 당초 롯데카드 사업부였다가 2015년 분사했고 지난해 공정거래위원회 승인을 거쳐 비금융사로 전환돼 공정거래법상 매각 대상에서 제외됐다.
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’","한화는 롯데카드 인수 후 롯데멤버스가 보유하고 있는 고객정보까지 향후 빅데이터 정보로 활용할 수 있는지를 롯데 측에 문의한 것으로 보인다. 롯데카드 고객은 약 771만명, 엘포인트 회원은 약 3800만명이다."
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’","하나금융은 지난 22일 인사 담당 2명, 정보기술(IT) 담당 1명 등 9명으로 구성된 롯데카드 인수 TF를 구성했다. 일각에서는 전체 인원 중 인사 담당자가 차지하는 비중을 고려해 하나금융이 롯데카드 인수 시 구조조정을 염두에 둔 게 아니냐는 분석도 있다. 지난해 3분기 기준 업계 5위권인 롯데카드 직원은 1732명으로 3위권인 KB국민카드의 1548명보다도 많다. 이에 대해 하나금융 관계자는 “이제 막 실사를 위한 TF를 구성했고 구조조정은 검토하고 있지 않다”고 말했다."
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’","하나금융도 롯데카드의 베트남 사업에 관심을 갖고 있는 것으로 알려졌다. 베트남 소비자금융 시장은 지난 3년간 63% 성장했고, 국내 금융사들이 속속 진출하고 있다. 롯데카드는 지난해 3월 베트남 중앙은행에서 현지 신용카드사인 테크콤 파이낸스 지분 100% 인수를 승인받고 연말부터 국내 카드사로는 처음으로 소비자금융을 시작했다."
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’",롯데카드의 대주주는 지분 93.78%를 보유하고 있는 롯데지주이며 지난해 3분기 말 기준 장부가는 1조8900만원이다.
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’","©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈",롯데마트는 오늘(26일) 보도자료를 통해 이날 베트남 북부 하노이시 꺼우져이군에 베트남 14호점이자 글로벌 183호점인 ‘꺼우져이(CAU GIAY)점’을 연다고 밝혔습니다.
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈","해당 점은 레지던스, 오피스, 쇼핑몰 등이 입점해 있는 복합 쇼핑몰 ‘디스커버리 슈퍼센터’ 건물 지하 1층에 임차면적 1천289평 규모로 들어서게 됩니다. 매장면적은 840평 규모입니다."
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈",꺼우져이점은 1인 가구와 레지던스를 고려해 고선도 식품기반의 생활밀착형 마켓으로 운영될 방침입니다.
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈","꺼우져이점 상권 2km 반경에 하노이 국립대학, 하노이 정치대학 등 총 7개의 대학교가 밀집해 있는 것으로 알려졌습니다. 롯데마트는 대학생을 위한 화장품 코너를 별도로 구성해 상품 테스트 및 안내를 받을 수 있는 공간을 마련하기도 했습니다."
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈","또한, 고객 충성도를 확보하고 지역 랜드마크(Landmark) 이미지를 확보하기 위해 롯데 멤버스와 함께 회원 모집 및 타깃마케팅을 진행합니다. 신규멤버스 고객에게는 최대 49%까지 상품 할인을 받을 수 있도록 멤버스 회원혜택을 확대할 전망입니다."
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈",롯데마트 관계자는 “꺼우져이점은 1호점 남사이공점 오픈 후 10년간 베트남사업을 성공적으로 진행해 온 롯데마트의 역량이 집약화된 매장이다”며 “올해도 호치민과 하노이를 중심으로 북베트남과 남베트남에 출점을 가속화할 계획이다”고 말했습니다.
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈","이로써 롯데마트는 인도네시아 내 46개 점포를 비롯해 베트남 14개 점, 국내 123개 점포를 합쳐 3개국에서 총 183개 매장을 운영하게 됩니다."
받고 싶은 설 선물 1위는 상품권,명절 선물로는 사과·배가 떠오르지만 실제 선물을 주고받는 사람은 상품권을 가장 선호한다는 조사 결과가 나왔다.
받고 싶은 설 선물 1위는 상품권,"롯데멤버스가 운영하는 엘포인트 리서치 플랫폼 '라임'에서 1만명을 대상으로 설문조사한 결과에 따르면 올 설날에 받고 싶은 선물로 상품권(57.2%)이 1위에 올랐다. 고가 선물의 대명사인 한우세트(11.8%)가 2위, 건강보조식품(8.5%)과 과일세트(6.6%)가 뒤를 이었다."
받고 싶은 설 선물 1위는 상품권,"다른 사람에게 줄 선물로도 1위 상품권(29.2%)이 꼽혔고, 2위는 건강보조식품(21.1%), 3위는 과일세트(15.5%)였다."
받고 싶은 설 선물 1위는 상품권,"주는 선물과 받는 선물 사이의 '동상이몽'도 흥미롭다. 받고 싶은 선물과 주고 싶은 선물 모두 상품권이 1위를 차지했지만, 상품권을 주겠다는 응답은 받겠다는 응답의 절반 수준으로 나타났다."
받고 싶은 설 선물 1위는 상품권,"해당 설문은 지난 15~17일 인터넷 홈페이지에서 진행됐으며, 95% 신뢰수준에 표본오차는 ±0.95%포인트다."
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',출근을 하고 있는데 갑자기 150만 원 정도가 결제됐다는 문자가 날라오면 얼마나 황당할까요? 실제 이런 일이 벌어졌는데 돈을 돌려받는 것은 어렵습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',직장인 박 모 씨는 출근길에 황당한 일을 겪었습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',수십만 원이 결제됐다는 문자 메시지가 13차례나 날아온 것입니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',산 물건은 별풍선 교환권 약 150만 원어치로 일종의 온라인 상품권이었습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',"[박모 씨 : 너무 황당해서 문자를 넣었다니까요. '어, 저 결제 안 했는데요.' 해킹당했다 가정을 하더라도 결제는 한 번 더 막아주는 게 있잖아요.]"
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',그런데 결제를 취소할 수도 없었습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',온라인 상품권은 인증번호만 있으면 곧바로 결제가 가능해 이미 상품권이 사용 된 뒤였습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',결제는 '엘 페이'라는 간편 결제 시스템으로 이뤄졌습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',하지만 정작 결제가 이뤄진 업체는 전산상 아무런 이상이 없다는 답변뿐이었습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',[롯데멤버스 관계자 : 시스템적인 해킹의 문제나 고객 정보가 유출된 건도 아니고 말 그대로 어찌 된 연유인지 수사를 하고 있어서…]
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',업체 측에 확인해 보니 같은 날 비슷한 피해가 7건이 넘었습니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',해당 쇼핑몰이나 결제 업체는 수사가 진행돼야 환불이 가능하다는 입장입니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',최근 이같은 간편 결제 시스템 사고가 잇따르고 있어 대책이 시급하다는 지적입니다.
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당',정재우(jung.jaewoo@jtbc.co.kr) [영상취재: 김진광 / 영상편집: 김지우]
"롯데멤버스, 오늘부터 고객센터 점심시간 운영",이에 따라 롯데멤버스 상담원들은 오늘부터 점심시간을 교대 근무 없이 전원 오후 12시부터 1시까지 갖게 된다. 기존에는 상담원들이 오전 11시 30분부터 오후 3시 30분까지 4교대로 돌아가며 근무했다.
"롯데멤버스, 오늘부터 고객센터 점심시간 운영",회사측은 상담원들의 규칙적인 휴식시간 보장을 통해 삶의 질을 높이고 고객들에게는 더 나은 서비스를 제공하기 위한 취지라고 설명했다.
"롯데멤버스, 오늘부터 고객센터 점심시간 운영","앞서 롯데멤버스는 지난 3개월간의 시간대별 인입콜 현황을 분석한 결과, 점심 시간대인 12시에서 1시까지 인입콜이 가장 적은 것으로 확인했다. 앞으로도 월별로 시간대별 인입콜 현황을 점검해 고객들의 불편을 사전에 방지할 예정이다. 다만 엘페이(L.pay) 결제 관련 상담은 기존처럼 점심시간에도 이용 가능하다."
"롯데멤버스, 오늘부터 고객센터 점심시간 운영","&lt;저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지&gt;"
